,0
NEIGHBORHOOD_CASTLETON CORNERS        ,1.0588891646478013e-06
NEIGHBORHOOD_CHELSEA,7.836935772982365e-05
NEIGHBORHOOD_CHELSEA                  ,0.000467963742367076
NEIGHBORHOOD_CHINATOWN,2.8892233453929284e-05
NEIGHBORHOOD_CHINATOWN                ,2.8615480308603623e-05
NEIGHBORHOOD_CITY ISLAND,4.41267500041842e-08
NEIGHBORHOOD_CITY ISLAND              ,1.7426623854113163e-07
NEIGHBORHOOD_CITY ISLAND-PELHAM STRIP ,1.3101116419896864e-07
NEIGHBORHOOD_CIVIC CENTER,0.00010327211798067042
NEIGHBORHOOD_CIVIC CENTER             ,3.914616467356432e-05
NEIGHBORHOOD_CLINTON,1.1174928256365996e-05
NEIGHBORHOOD_CLINTON                  ,0.00026047244987129265
NEIGHBORHOOD_CLINTON HILL,1.7727289277203477e-05
NEIGHBORHOOD_CLINTON HILL             ,5.41998269895742e-05
NEIGHBORHOOD_CLOVE LAKES,9.500747009279153e-08
NEIGHBORHOOD_CLOVE LAKES              ,1.134266176837991e-07
NEIGHBORHOOD_CO-OP CITY,2.186987243565058e-11
NEIGHBORHOOD_CO-OP CITY               ,1.84929217245961e-09
NEIGHBORHOOD_COBBLE HILL,9.436660197128017e-06
NEIGHBORHOOD_COBBLE HILL              ,1.956925968249425e-06
NEIGHBORHOOD_COBBLE HILL-WEST,4.081021342355027e-07
NEIGHBORHOOD_COBBLE HILL-WEST         ,1.4761317321198088e-06
NEIGHBORHOOD_COLLEGE POINT,9.775707205300961e-07
NEIGHBORHOOD_COLLEGE POINT            ,4.076372739632922e-07
NEIGHBORHOOD_CONCORD,4.389234187860242e-08
NEIGHBORHOOD_CONCORD                  ,8.652809598160831e-07
NEIGHBORHOOD_CONCORD-FOX HILLS,1.0068638456576928e-08
NEIGHBORHOOD_CONCORD-FOX HILLS        ,8.134393469448062e-06
NEIGHBORHOOD_CONEY ISLAND,2.910253921839082e-07
NEIGHBORHOOD_CONEY ISLAND             ,1.9187952745284577e-05
NEIGHBORHOOD_CORONA,1.8258602891321223e-06
NEIGHBORHOOD_CORONA                   ,1.5941085763012093e-06
NEIGHBORHOOD_COUNTRY CLUB,1.3418145571858354e-07
NEIGHBORHOOD_COUNTRY CLUB             ,1.5185410367322113e-07
NEIGHBORHOOD_CROTONA PARK,1.2759304653542036e-07
NEIGHBORHOOD_CROTONA PARK             ,6.051918142612012e-05
NEIGHBORHOOD_CROWN HEIGHTS,2.851122538444854e-05
NEIGHBORHOOD_CROWN HEIGHTS            ,1.3536000737670815e-05
NEIGHBORHOOD_CYPRESS HILLS,5.046199002063031e-07
NEIGHBORHOOD_CYPRESS HILLS            ,3.7613604352099425e-06
NEIGHBORHOOD_DONGAN HILLS,1.4382304559838765e-07
NEIGHBORHOOD_DONGAN HILLS             ,4.5853613497480827e-07
NEIGHBORHOOD_DONGAN HILLS-COLONY,1.806414281356071e-07
NEIGHBORHOOD_DONGAN HILLS-COLONY      ,1.4075050754208793e-07
NEIGHBORHOOD_DONGAN HILLS-OLD TOWN,1.0571548820084381e-07
NEIGHBORHOOD_DONGAN HILLS-OLD TOWN    ,5.622950707357505e-09
NEIGHBORHOOD_DOUGLASTON,2.969413435525708e-07
NEIGHBORHOOD_DOUGLASTON               ,9.280335051453365e-07
NEIGHBORHOOD_DOWNTOWN-FULTON FERRY,7.326854989433125e-06
NEIGHBORHOOD_DOWNTOWN-FULTON FERRY    ,2.1200982927212188e-05
NEIGHBORHOOD_DOWNTOWN-FULTON MALL,2.5741000909630017e-06
NEIGHBORHOOD_DOWNTOWN-FULTON MALL     ,3.14796218147983e-05
NEIGHBORHOOD_DOWNTOWN-METROTECH,4.952415770992547e-06
NEIGHBORHOOD_DOWNTOWN-METROTECH       ,3.681249495569993e-06
NEIGHBORHOOD_DYKER HEIGHTS,1.9939758513688494e-06
NEIGHBORHOOD_DYKER HEIGHTS            ,6.348088961472526e-07
NEIGHBORHOOD_EAST ELMHURST,6.31105019948904e-07
NEIGHBORHOOD_EAST ELMHURST            ,2.863695270870152e-07
NEIGHBORHOOD_EAST NEW YORK,8.744436843260522e-07
NEIGHBORHOOD_EAST NEW YORK            ,1.5465196145142217e-05
NEIGHBORHOOD_EAST TREMONT,3.5851277605408493e-06
NEIGHBORHOOD_EAST TREMONT             ,5.537641602668954e-06
NEIGHBORHOOD_EAST VILLAGE,7.089433833419543e-05
NEIGHBORHOOD_EAST VILLAGE             ,3.9968604052948734e-05
NEIGHBORHOOD_ELMHURST,1.456147768391711e-05
NEIGHBORHOOD_ELMHURST                 ,7.196966251633005e-05
NEIGHBORHOOD_ELTINGVILLE,2.49556507458289e-07
NEIGHBORHOOD_ELTINGVILLE              ,1.8603171546779206e-07
NEIGHBORHOOD_EMERSON HILL,5.0775995975808146e-08
NEIGHBORHOOD_EMERSON HILL             ,1.4547318454735648e-07
NEIGHBORHOOD_FAR ROCKAWAY,0.0002068091075556313
NEIGHBORHOOD_FAR ROCKAWAY             ,2.0351047135488775e-05
NEIGHBORHOOD_FASHION,1.5265077900451227e-05
NEIGHBORHOOD_FASHION                  ,0.00031946137274055516
NEIGHBORHOOD_FIELDSTON,9.387324403936859e-08
NEIGHBORHOOD_FIELDSTON                ,2.422944630472335e-07
NEIGHBORHOOD_FINANCIAL,5.910329480840474e-06
NEIGHBORHOOD_FINANCIAL                ,0.00033673186468098024
NEIGHBORHOOD_FLATBUSH-CENTRAL,1.5084576895261455e-05
NEIGHBORHOOD_FLATBUSH-CENTRAL         ,1.751520245383746e-05
NEIGHBORHOOD_FLATBUSH-EAST,4.525262959399817e-06
NEIGHBORHOOD_FLATBUSH-EAST            ,9.329081469564161e-06
NEIGHBORHOOD_FLATBUSH-LEFFERTS GARDEN,5.05054195250822e-06
NEIGHBORHOOD_FLATBUSH-LEFFERTS GARDEN ,7.266082943019055e-06
NEIGHBORHOOD_FLATBUSH-NORTH,6.705434630398065e-06
NEIGHBORHOOD_FLATBUSH-NORTH           ,6.545086043153422e-06
NEIGHBORHOOD_FLATIRON,6.745460032234332e-05
NEIGHBORHOOD_FLATIRON                 ,0.00011265868220127863
NEIGHBORHOOD_FLATLANDS,3.58836267372286e-08
NEIGHBORHOOD_FLATLANDS                ,3.7936352764600007e-07
NEIGHBORHOOD_FLORAL PARK,7.609187269317182e-08
NEIGHBORHOOD_FLORAL PARK              ,3.525059363957339e-07
NEIGHBORHOOD_FLUSHING MEADOW PARK,1.0707660140000591e-08
NEIGHBORHOOD_FLUSHING MEADOW PARK     ,2.590533210560193e-08
NEIGHBORHOOD_FLUSHING-NORTH,4.213291137813371e-05
NEIGHBORHOOD_FLUSHING-NORTH           ,0.00047459777119292923
NEIGHBORHOOD_FLUSHING-SOUTH,1.561116087089636e-06
NEIGHBORHOOD_FLUSHING-SOUTH           ,4.181852666765677e-05
NEIGHBORHOOD_FORDHAM,7.964507113679166e-06
NEIGHBORHOOD_FORDHAM                  ,1.0310162917372973e-05
NEIGHBORHOOD_FOREST HILLS,1.7645259960758442e-06
NEIGHBORHOOD_FOREST HILLS             ,4.886045870686777e-06
NEIGHBORHOOD_FORT GREENE,5.331893797646571e-06
NEIGHBORHOOD_FORT GREENE              ,3.759672063743392e-06
NEIGHBORHOOD_FRESH KILLS,3.515834714381973e-12
NEIGHBORHOOD_FRESH KILLS              ,4.953886499759689e-09
NEIGHBORHOOD_FRESH MEADOWS,5.152926954333607e-07
NEIGHBORHOOD_FRESH MEADOWS            ,3.277200681119701e-07
NEIGHBORHOOD_GERRITSEN BEACH,2.4327139883148703e-08
NEIGHBORHOOD_GERRITSEN BEACH          ,4.548615926575308e-07
NEIGHBORHOOD_GLEN OAKS,4.4279530726034674e-08
NEIGHBORHOOD_GLEN OAKS                ,9.010347032208182e-08
NEIGHBORHOOD_GLENDALE,5.163304758135557e-06
NEIGHBORHOOD_GLENDALE                 ,7.222432489213297e-07
NEIGHBORHOOD_GOWANUS,0.000312552612099242
NEIGHBORHOOD_GOWANUS                  ,5.2942044264729884e-05
NEIGHBORHOOD_GRAMERCY,2.2499716070272084e-05
NEIGHBORHOOD_GRAMERCY                 ,0.00023467271704145736
NEIGHBORHOOD_GRANT CITY,1.2090188383454303e-07
NEIGHBORHOOD_GRANT CITY               ,1.6293499254605654e-07
NEIGHBORHOOD_GRASMERE,1.121109238923247e-07
NEIGHBORHOOD_GRASMERE                 ,1.6775906319043082e-07
NEIGHBORHOOD_GRAVESEND,4.365282328676798e-06
NEIGHBORHOOD_GRAVESEND                ,3.597018832320365e-06
NEIGHBORHOOD_GREAT KILLS,4.18541193252813e-07
NEIGHBORHOOD_GREAT KILLS              ,2.756335969848516e-07
NEIGHBORHOOD_GREAT KILLS-BAY TERRACE,4.4903242280049434e-08
NEIGHBORHOOD_GREAT KILLS-BAY TERRACE  ,3.90251574841796e-08
NEIGHBORHOOD_GREENPOINT,7.310772212846888e-05
NEIGHBORHOOD_GREENPOINT               ,7.890434221926011e-05
NEIGHBORHOOD_GREENWICH VILLAGE-CENTRAL,0.0002463047832527889
NEIGHBORHOOD_GREENWICH VILLAGE-WEST,9.556287378589396e-05
NEIGHBORHOOD_GREENWICH VILLAGE-WEST   ,0.00010396946727775882
NEIGHBORHOOD_GRYMES HILL,5.740612656740325e-08
NEIGHBORHOOD_GRYMES HILL              ,2.0105360750777788e-07
NEIGHBORHOOD_HAMMELS,4.011238256760197e-08
NEIGHBORHOOD_HAMMELS                  ,2.3343920809649936e-07
NEIGHBORHOOD_HARLEM-CENTRAL,0.00021058176944037938
NEIGHBORHOOD_HARLEM-CENTRAL           ,0.00013581940084514887
NEIGHBORHOOD_HARLEM-EAST,0.0004946704291781955
NEIGHBORHOOD_HARLEM-EAST              ,0.0002768718273672343
NEIGHBORHOOD_HARLEM-UPPER,3.567032159019393e-05
NEIGHBORHOOD_HARLEM-UPPER             ,5.7460551762152076e-05
NEIGHBORHOOD_HARLEM-WEST,1.0348276926126287e-05
NEIGHBORHOOD_HARLEM-WEST              ,7.500317083727464e-06
NEIGHBORHOOD_HIGHBRIDGE/MORRIS HEIGHTS,7.619853539396414e-06
NEIGHBORHOOD_HILLCREST,6.970910990467845e-08
NEIGHBORHOOD_HILLCREST                ,7.057595508847895e-07
NEIGHBORHOOD_HOLLIS,2.1318629136813198e-06
NEIGHBORHOOD_HOLLIS                   ,2.107701248771785e-06
NEIGHBORHOOD_HOLLIS HILLS,1.11225840461476e-07
NEIGHBORHOOD_HOLLIS HILLS             ,5.3321535553338494e-08
NEIGHBORHOOD_HOLLISWOOD,2.665521580946112e-07
NEIGHBORHOOD_HOLLISWOOD               ,6.325346691785429e-07
NEIGHBORHOOD_HOWARD BEACH,1.4846997927214825e-07
NEIGHBORHOOD_HOWARD BEACH             ,5.27299679770385e-07
NEIGHBORHOOD_HUGUENOT,1.9999973380607494e-07
NEIGHBORHOOD_HUGUENOT                 ,2.427719591609473e-07
